  score1=28, score2=18, dur=521.8, team1=cdembski, team2=adamc710, winner=cdembski, mtype=rescue_r2, mhash_short=[CURT-PLAN], mhash_lshort=Q-CURT-PLAN, mhash=mhash=250512-2101Q-CURT-PLAN,utc=1747098065.90
  score1=40, score2=14, dur=741, team1=bruno752, team2=jcizu690, winner=bruno752, mtype=rescue_r2, mhash_short=[RICH-LUIS], mhash_lshort=V-RICH-LUIS, mhash=mhash=250512-2101V-RICH-LUIS,utc=1747098107.43
  score1=50, score2=3, dur=950.1, team1=bruno752, team2=adamc710, winner=bruno752, mtype=rescue_r2, mhash_short=[GREY-ROSS], mhash_lshort=D-GREY-ROSS, mhash=mhash=250512-2102D-GREY-ROSS,utc=1747098159.94
  score1=40, score2=17, dur=950.3, team1=cschnorr, team2=ews2011, winner=cschnorr, mtype=rescue_r2, mhash_short=[SURE-CRIB], mhash_lshort=C-SURE-CRIB, mhash=mhash=250512-2103C-SURE-CRIB,utc=1747098222.85
  score1=34, score2=12, dur=950.1, team1=jwenger, team2=cschnorr, winner=jwenger, mtype=rescue_r2, mhash_short=[NINE-MILK], mhash_lshort=J-NINE-MILK, mhash=mhash=250512-2104J-NINE-MILK,utc=1747098285.89
  score1=26, score2=25, dur=461.6, team1=bertucci, team2=cdembski, winner=bertucci, mtype=rescue_r2, mhash_short=[BARE-AVEN], mhash_lshort=H-BARE-AVEN, mhash=mhash=250512-2105H-BARE-AVEN,utc=1747098348.85
  score1=28, score2=26, dur=506.3, team1=bertucci, team2=cdembski, winner=bertucci, mtype=rescue_r2, mhash_short=[RICH-ENZO], mhash_lshort=V-RICH-ENZO, mhash=mhash=250512-2106V-RICH-ENZO,utc=1747098387.36
  score1=32, score2=17, dur=950.2, team1=jwenger, team2=cdembski, winner=jwenger, mtype=rescue_r2, mhash_short=[DUMB-JOEL], mhash_lshort=L-DUMB-JOEL, mhash=mhash=250512-2107L-DUMB-JOEL,utc=1747098428.12
  score1=45, score2=7, dur=950.1, team1=bruno752, team2=jcizu690, winner=bruno752, mtype=rescue_r2, mhash_short=[WIDE-AJAX], mhash_lshort=B-WIDE-AJAX, mhash=mhash=250512-2108B-WIDE-AJAX,utc=1747098491.14
  score1=39, score2=17, dur=615.9, team1=bruno752, team2=cschnorr, winner=bruno752, mtype=rescue_r2, mhash_short=[ZANY-CAIN], mhash_lshort=G-ZANY-CAIN, mhash=mhash=250512-2109G-ZANY-CAIN,utc=1747098554.09
  score1=28, score2=25, dur=623.8, team1=cschnorr, team2=ews2011, winner=cschnorr, mtype=rescue_r2, mhash_short=[GREY-LACK], mhash_lshort=R-GREY-LACK, mhash=mhash=250512-2110R-GREY-LACK,utc=1747098600.30
  score1=40, score2=17, dur=950.3, team1=bruno752, team2=jcizu690, winner=bruno752, mtype=rescue_r2, mhash_short=[PAST-NIAL], mhash_lshort=T-PAST-NIAL, mhash=mhash=250512-2110T-PAST-NIAL,utc=1747098646.90
  score1=32, score2=22, dur=559.6, team1=jwenger, team2=cdembski, winner=jwenger, mtype=rescue_r2, mhash_short=[PALE-SHIN], mhash_lshort=M-PALE-SHIN, mhash=mhash=250512-2111M-PALE-SHIN,utc=1747098709.86
  score1=27, score2=24, dur=452.6, team1=cschnorr, team2=jcizu690, winner=cschnorr, mtype=rescue_r2, mhash_short=[LITE-FILE], mhash_lshort=R-LITE-FILE, mhash=mhash=250512-2112R-LITE-FILE,utc=1747098753.21
  score1=50, score2=3, dur=948.8, team1=bruno752, team2=adamc710, winner=bruno752, mtype=rescue_r2, mhash_short=[AVID-LORD], mhash_lshort=E-AVID-LORD, mhash=mhash=250512-2113E-AVID-LORD,utc=1747098791.27
  score1=31, score2=26, dur=544.7, team1=cschnorr, team2=bertucci, winner=cschnorr, mtype=rescue_r2, mhash_short=[BONY-KHAN], mhash_lshort=V-BONY-KHAN, mhash=mhash=250512-2114V-BONY-KHAN,utc=1747098854.14
  score1=27, score2=25, dur=581.3, team1=chthigpen, team2=cdembski, winner=chthigpen, mtype=rescue_r2, mhash_short=[SEXY-FACT], mhash_lshort=B-SEXY-FACT, mhash=mhash=250512-2114B-SEXY-FACT,utc=1747098896.77
  score1=29, score2=24, dur=950.2, team1=cschnorr, team2=jwenger, winner=cschnorr, mtype=rescue_r2, mhash_short=[HALS-TEST], mhash_lshort=N-HALS-TEST, mhash=mhash=250512-2115N-HALS-TEST,utc=1747098941.30
  score1=44, score2=6, dur=950.2, team1=thoma904, team2=ews2011, winner=thoma904, mtype=rescue_r2, mhash_short=[BENS-NORM], mhash_lshort=T-BENS-NORM, mhash=mhash=250512-2116T-BENS-NORM,utc=1747099004.23
  score1=30, score2=25, dur=603.2, team1=cschnorr, team2=ews2011, winner=cschnorr, mtype=rescue_r2, mhash_short=[UGLY-SCAN], mhash_lshort=N-UGLY-SCAN, mhash=mhash=250512-2117N-UGLY-SCAN,utc=1747099067.28
  score1=34, score2=16, dur=545.3, team1=ews2011, team2=adamc710, winner=ews2011, mtype=rescue_r2, mhash_short=[GLUM-TACK], mhash_lshort=H-GLUM-TACK, mhash=mhash=250512-2118H-GLUM-TACK,utc=1747099112.88
  score1=28, score2=20, dur=950.3, team1=thoma904, team2=jcizu690, winner=thoma904, mtype=rescue_r2, mhash_short=[NEAT-LOOK], mhash_lshort=F-NEAT-LOOK, mhash=mhash=250512-2119F-NEAT-LOOK,utc=1747099155.69
  score1=32, score2=21, dur=950.3, team1=thoma904, team2=jcizu690, winner=thoma904, mtype=rescue_r2, mhash_short=[OPEN-KANE], mhash_lshort=W-OPEN-KANE, mhash=mhash=250512-2120W-OPEN-KANE,utc=1747099218.71
  score1=28, score2=17, dur=482, team1=jwenger, team2=adamc710, winner=jwenger, mtype=rescue_r2, mhash_short=[FINE-KYLO], mhash_lshort=E-FINE-KYLO, mhash=mhash=250512-2121E-FINE-KYLO,utc=1747099281.76
  score1=49, score2=3, dur=950.2, team1=bruno752, team2=adamc710, winner=bruno752, mtype=rescue_r2, mhash_short=[WARY-EMIL], mhash_lshort=Z-WARY-EMIL, mhash=mhash=250512-2122Z-WARY-EMIL,utc=1747099321.39
  score1=49, score2=1, dur=950.2, team1=bruno752, team2=cdembski, winner=bruno752, mtype=rescue_r2, mhash_short=[COLD-CODY], mhash_lshort=N-COLD-CODY, mhash=mhash=250512-2123N-COLD-CODY,utc=1747099384.42
  score1=28, score2=24, dur=594.1, team1=cdembski, team2=adamc710, winner=cdembski, mtype=rescue_r2, mhash_short=[SURE-SHAW], mhash_lshort=S-SURE-SHAW, mhash=mhash=250512-2124S-SURE-SHAW,utc=1747099447.47
