  score1=27, score2=15, dur=360, team1=bruno752, team2=omg, winner=bruno752, mtype=rescue_r2, mhash_short=[GRIM-FIGS], mhash_lshort=M-GRIM-FIGS, mhash=mhash=250511-2316M-GRIM-FIGS,utc=1747019780.77
  score1=49, score2=2, dur=950.3, team1=bruno752, team2=jjdrift, winner=bruno752, mtype=rescue_r2, mhash_short=[GRIM-GABE], mhash_lshort=U-GRIM-GABE, mhash=mhash=250511-2316U-GRIM-GABE,utc=1747019814.45
  score1=32, score2=14, dur=483.5, team1=jjdrift, team2=ericadam, winner=jjdrift, mtype=rescue_r2, mhash_short=[KIND-KREW], mhash_lshort=W-KIND-KREW, mhash=mhash=250511-2317W-KIND-KREW,utc=1747019877.56
  score1=27, score2=23, dur=950.3, team1=mineswp, team2=jcizu690, winner=mineswp, mtype=rescue_r2, mhash_short=[NINE-SODA], mhash_lshort=V-NINE-SODA, mhash=mhash=250511-2318V-NINE-SODA,utc=1747019917.23
  score1=33, score2=18, dur=950.3, team1=mineswp, team2=bertucci, winner=mineswp, mtype=rescue_r2, mhash_short=[FOND-NIKO], mhash_lshort=Y-FOND-NIKO, mhash=mhash=250511-2319Y-FOND-NIKO,utc=1747019980.27
  score1=31, score2=22, dur=403.7, team1=bertucci, team2=wpirates, winner=bertucci, mtype=rescue_r2, mhash_short=[WAXY-GAME], mhash_lshort=F-WAXY-GAME, mhash=mhash=250511-2320F-WAXY-GAME,utc=1747020043.33
  score1=44, score2=4, dur=950.1, team1=jjdrift, team2=jcizu690, winner=jjdrift, mtype=rescue_r2, mhash_short=[CHIC-FIRE], mhash_lshort=W-CHIC-FIRE, mhash=mhash=250511-2321W-CHIC-FIRE,utc=1747020079.07
  score1=40, score2=18, dur=631.3, team1=jjdrift, team2=omg, winner=jjdrift, mtype=rescue_r2, mhash_short=[RARE-BREW], mhash_lshort=Z-RARE-BREW, mhash=mhash=250511-2334Z-RARE-BREW,utc=1747020870.96
  score1=28, score2=26, dur=950.2, team1=jcizu690, team2=omg, winner=jcizu690, mtype=rescue_r2, mhash_short=[IDLE-DANE], mhash_lshort=F-IDLE-DANE, mhash=mhash=250511-2352F-IDLE-DANE,utc=1747021952.36
  score1=36, score2=15, dur=950.1, team1=jjdrift, team2=ews2011, winner=jjdrift, mtype=rescue_r2, mhash_short=[COLD-ROOT], mhash_lshort=M-COLD-ROOT, mhash=mhash=250512-0026M-COLD-ROOT,utc=1747024003.70
  score1=25, score2=24, dur=501.2, team1=bertucci, team2=ericadam, winner=bertucci, mtype=rescue_r2, mhash_short=[TAME-LIAM], mhash_lshort=J-TAME-LIAM, mhash=mhash=250512-0027J-TAME-LIAM,utc=1747024069.46
  score1=41, score2=2, dur=950.1, team1=mineswp, team2=wpirates, winner=mineswp, mtype=rescue_r2, mhash_short=[GORY-DEAN], mhash_lshort=H-GORY-DEAN, mhash=mhash=250512-0028H-GORY-DEAN,utc=1747024112.76
  score1=38, score2=22, dur=728.8, team1=bertucci, team2=ews2011, winner=bertucci, mtype=rescue_r2, mhash_short=[GLUM-BEDS], mhash_lshort=U-GLUM-BEDS, mhash=mhash=250512-0029U-GLUM-BEDS,utc=1747024178.68
  score1=28, score2=15, dur=950.1, team1=mineswp, team2=ews2011, winner=mineswp, mtype=rescue_r2, mhash_short=[BARE-MENU], mhash_lshort=G-BARE-MENU, mhash=mhash=250512-0030G-BARE-MENU,utc=1747024233.49
  score1=40, score2=11, dur=950.2, team1=jjdrift, team2=ews2011, winner=jjdrift, mtype=rescue_r2, mhash_short=[WARM-JESS], mhash_lshort=V-WARM-JESS, mhash=mhash=250512-0031V-WARM-JESS,utc=1747024299.19
  score1=34, score2=16, dur=467.6, team1=jcizu690, team2=chthigpen, winner=jcizu690, mtype=rescue_r2, mhash_short=[SORE-IPOD], mhash_lshort=B-SORE-IPOD, mhash=mhash=250512-0032B-SORE-IPOD,utc=1747024365.14
  score1=43, score2=6, dur=606.1, team1=jjdrift, team2=ericadam, winner=jjdrift, mtype=rescue_r2, mhash_short=[SEXY-ODDS], mhash_lshort=E-SEXY-ODDS, mhash=mhash=250512-0033E-SEXY-ODDS,utc=1747024406.73
  score1=37, score2=13, dur=614.9, team1=jjdrift, team2=ericadam, winner=jjdrift, mtype=rescue_r2, mhash_short=[MALT-LARS], mhash_lshort=N-MALT-LARS, mhash=mhash=250512-0034N-MALT-LARS,utc=1747024455.24
  score1=28, score2=20, dur=463.5, team1=bertucci, team2=ericadam, winner=bertucci, mtype=rescue_r2, mhash_short=[NEXT-EPIC], mhash_lshort=I-NEXT-EPIC, mhash=mhash=250512-0035I-NEXT-EPIC,utc=1747024504.24
  score1=49, score2=3, dur=950.3, team1=bruno752, team2=ericadam, winner=bruno752, mtype=rescue_r2, mhash_short=[NUDE-PATH], mhash_lshort=E-NUDE-PATH, mhash=mhash=250512-0035E-NUDE-PATH,utc=1747024545.67
  score1=27, score2=22, dur=714.9, team1=chthigpen, team2=ews2011, winner=chthigpen, mtype=rescue_r2, mhash_short=[THIN-KIRK], mhash_lshort=H-THIN-KIRK, mhash=mhash=250512-0036H-THIN-KIRK,utc=1747024611.83
  score1=41, score2=6, dur=950.1, team1=mineswp, team2=omg, winner=mineswp, mtype=rescue_r2, mhash_short=[FAST-HOSE], mhash_lshort=W-FAST-HOSE, mhash=mhash=250512-0037W-FAST-HOSE,utc=1747024665.87
  score1=42, score2=10, dur=706.2, team1=bertucci, team2=ericadam, winner=bertucci, mtype=rescue_r2, mhash_short=[NINE-BRIO], mhash_lshort=K-NINE-BRIO, mhash=mhash=250512-0038K-NINE-BRIO,utc=1747024731.63
  score1=40, score2=14, dur=747.7, team1=jjdrift, team2=ericadam, winner=jjdrift, mtype=rescue_r2, mhash_short=[FAIR-ODIN], mhash_lshort=X-FAIR-ODIN, mhash=mhash=250512-0039X-FAIR-ODIN,utc=1747024785.17
  score1=39, score2=10, dur=950.2, team1=jjdrift, team2=wpirates, winner=jjdrift, mtype=rescue_r2, mhash_short=[LIVE-REMI], mhash_lshort=R-LIVE-REMI, mhash=mhash=250512-0040R-LIVE-REMI,utc=1747024840.85
  score1=28, score2=20, dur=579.6, team1=jjdrift, team2=chthigpen, winner=jjdrift, mtype=rescue_r2, mhash_short=[TEDS-RACE], mhash_lshort=F-TEDS-RACE, mhash=mhash=250512-0041F-TEDS-RACE,utc=1747024906.60
  score1=50, score2=4, dur=950.2, team1=bruno752, team2=wpirates, winner=bruno752, mtype=rescue_r2, mhash_short=[GREY-LAND], mhash_lshort=L-GREY-LAND, mhash=mhash=250512-0042L-GREY-LAND,utc=1747024954.05
  score1=39, score2=16, dur=950.3, team1=jcizu690, team2=chthigpen, winner=jcizu690, mtype=rescue_r2, mhash_short=[SORE-EDDY], mhash_lshort=S-SORE-EDDY, mhash=mhash=250512-0043S-SORE-EDDY,utc=1747025019.95
  score1=28, score2=21, dur=437.6, team1=wpirates, team2=omg, winner=wpirates, mtype=rescue_r2, mhash_short=[DUMB-MOOS], mhash_lshort=G-DUMB-MOOS, mhash=mhash=250512-0044G-DUMB-MOOS,utc=1747025085.70
  score1=40, score2=20, dur=735.1, team1=jcizu690, team2=ews2011, winner=jcizu690, mtype=rescue_r2, mhash_short=[DUMB-HANK], mhash_lshort=N-DUMB-HANK, mhash=mhash=250512-0045N-DUMB-HANK,utc=1747025125.82
  score1=31, score2=20, dur=574.5, team1=omg, team2=bertucci, winner=omg, mtype=rescue_r2, mhash_short=[LIKE-VERN], mhash_lshort=A-LIKE-VERN, mhash=mhash=250512-0046A-LIKE-VERN,utc=1747025180.80
  score1=39, score2=7, dur=622.8, team1=jjdrift, team2=ericadam, winner=jjdrift, mtype=rescue_r2, mhash_short=[AVID-RISE], mhash_lshort=G-AVID-RISE, mhash=mhash=250512-0047G-AVID-RISE,utc=1747025227.75
  score1=35, score2=2, dur=950.3, team1=bruno752, team2=ews2011, winner=bruno752, mtype=rescue_r2, mhash_short=[DEAR-YURI], mhash_lshort=K-DEAR-YURI, mhash=mhash=250512-0047K-DEAR-YURI,utc=1747025277.21
  score1=22, score2=14, dur=950.3, team1=mineswp, team2=ews2011, winner=mineswp, mtype=rescue_r2, mhash_short=[FIRM-WEEK], mhash_lshort=F-FIRM-WEEK, mhash=mhash=250512-0049F-FIRM-WEEK,utc=1747025343.21
